x,y
3949.9755797164585,2711.420565208558
1748.5755311274743,2559.4286232985764
3671.408888779423,1447.1947243391608
1349.7007952391546,2092.89874692041
2111.0436376021344,3239.6031552497225
374.0545537205023,3100.471626706497
2788.972933783426,2953.6783154012405
2151.8076133736813,2504.5811659208384
474.6471443246662,3764.300330637496
2976.767479136493,3307.7795167533163
3595.7155844656722,2525.6238958914146
1702.4699118471037,897.6163747894756
818.7058062688644,697.3656664196981
1152.3347918194831,2682.102619127865
1769.1061894850006,2151.8641156586905
3411.153129737513,3720.437595703732
1023.1051973154573,3097.1776829037653
2706.41396402398,351.4511044741277
3284.829536217157,2777.5364035196667
1372.5495276409313,3857.951541209926
1493.569236498259,3454.7323995432844
3546.566727309163,927.5289545099131
916.8921506890146,3886.563115816909
774.6779511150265,3497.7169834486663
1587.1337846972813,1315.9652836625808
386.76856932639413,1464.0885861028196
1496.766485647518,2891.045768131501
186.18000122074525,1811.8946650516893
1012.010830415736,2307.424576529517
2452.827277579918,661.5194717965679
54.09591241702994,2846.726166308253
2053.160469834566,687.3754576768283
499.0482559384307,254.82478196643135
3673.40154861972,528.1829596074058
2434.1535784128055,1468.6505144866876
3625.54203961783,3306.2041771663507
2521.6400102753387,2264.333975279086
197.7678268775274,2471.902362640333
1416.7624954086607,1683.262637027073
2252.1015800390182,1965.11559392973
3255.427640815856,617.165484597982
1996.68104212541,1169.5187349164194
3862.3704647794625,1971.8785434882939
2384.565569724844,1071.6962957260678
3281.6922383395395,1804.3939740440933
422.412963683139,2140.7416110779045
3946.154771726864,889.2840606306895
1904.2381110406416,1567.1066499292817
3466.0942520236385,185.77816857648492
602.1722824538308,1034.0571686547103
